text,labels,Average_Word_Length,Lexical_Diversity,Capital_Letters_Count,Hashtag_Frequency,Mention_Frequency,count_emojis,special_chars_count,Stop_Word_Frequency,Noun_Count,Verb_Count,Participle_Count,Interjection_Count,Pronoun_Count,Preposition_Count,Adverb_Count,Conjunction_Count,Readability_Score,URL_Frequency
"More than any other ally do we take that as a compliment ? unlike his house of non representatives who so much love their nation hold ordinary people and their way of life to ransom no pay no food, no nothing go lecture your own system take white pees with u fire cracker man",0,4.111111111111111,0.9074074074074074,1,0,0,0,2,24,17,4,0,0,0,1,1,0,69.96,0
"Funny: The new right goverment cutted the welfare for refugees. But generally refugees can save money and send them home. 2,000.000.000 run to Syria and Afghanistan. So Austria suport these countries for development.",0,5.575757575757576,0.9393939393939394,7,0,0,0,8,12,14,2,1,0,0,0,1,0,71.51,0
"#1 illegal aliens, millions of EWI people robbing, maiming, killing our citizens, taking our jobs, fleecing our taxpayers.#votered #AmericaisforAmericans#legalvettedimmigrationonly#boycottvicela",1,9.263157894736842,0.8947368421052632,5,5,0,0,11,4,6,7,5,0,0,0,1,0,-15.5,0
you should be ashamed that these companies pay no tax yet will bankrupt normal people of a few 100 pounds. time for change,0,4.3478260869565215,1.0,0,0,0,0,1,11,6,1,0,0,0,0,1,0,93.64,0
Jose 'the puta' bitch says he doesn't cry about injuries to his players. What a contradictory KUNT. Conte response was brilliant imo.,0,5.090909090909091,1.0,7,0,0,0,6,8,9,3,0,0,0,0,0,0,72.53,0
Listening to this right now. Tis plaintive and wistfully beautiful,0,5.7,1.0,2,0,0,0,1,3,1,1,1,0,0,0,1,0,57.94,0
"No, not all men are like Harvey Weinstein but apparently the left wants you to think so",0,4.176470588235294,1.0,3,0,0,0,1,8,3,3,0,0,0,1,1,0,71.14,0
you a straight bitch,0,4.25,1.0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,118.18,0
US lashes out at UN 'hypocrisy' over migrant family breakups,0,5.1,1.0,4,0,0,0,2,3,2,1,0,0,1,0,0,0,78.25,0
Business men and their profits go before Immigration and the effects on them Bupa membership protection no sense of reality,0,5.2,0.95,3,0,0,0,0,9,8,2,0,0,0,0,0,0,34.26,0
EU grants Spain 3 million in emergency migration funds,0,5.111111111111111,1.0,3,0,0,0,0,1,5,1,0,0,0,0,0,0,62.34,0
"at EU Core54,000 relatives of migrants came to last year for reunification. Little Sisters wanted new limits at 1,000/month bt embassies already report 34,000 new requests. No end to delusions of Merkel, CSU.#Visegrad #V4",0,5.529411764705882,0.8823529411764706,12,2,0,0,10,8,11,6,1,0,0,0,1,0,60.01,0
"It's unfair to immigrants apply and wait for a VISA to reside,work or go to school, here in the U.S., that ILLEGAL ALIENS are allowed to stay without documentation. Let them go home and apply for a VISA like all the LEGAL IMMIGRANTS HAVE. WHAT MAKES ILLEGALS EXEMPT?",1,4.5625,0.7916666666666666,67,0,0,0,9,21,11,7,1,0,0,2,1,0,76.22,0
"It's funny trying to be told what to do I will wear what I want Talk to whoever I want Post whatever I want & be whoever I want to be, bitch",0,3.40625,0.59375,8,0,0,0,3,16,4,5,1,0,0,0,0,0,65.39,0
"Facts! like bitch stfu & sit in the corner hoe. Catch a fit in the corner, facing the wall",1,3.789473684210526,0.8421052631578947,2,0,0,0,4,6,9,1,1,0,0,1,0,0,96.18,0
""" """"whatever makes them happy"""" really bitch? you are not good friend, you are mother fucking cunt """,1,4.611111111111111,0.8333333333333334,0,0,0,0,8,6,3,3,1,0,0,0,1,0,80.28,0
"#BuildThatWall Go around them. The money is already in the Pentagon and DHS, It's what our military did for decades, if not more than a century of erecting forts and walls to defend the country, and it's a valid response to an invasion.",1,4.511627906976744,0.8837209302325582,10,1,0,0,8,24,9,4,1,0,0,1,1,0,75.03,0
You'll never be girlfriend or wife or none of that that's MY place bitch know your role and play your position the rebound one,1,4.291666666666667,0.9166666666666666,3,0,0,0,2,11,7,2,0,0,0,1,1,0,80.96,0
"- I'm Soo Tried Of These Under Cover ""DICK SUCKING ASS HOE'S"" Bitch You Know You Out Here Slang Puss Stop Trying To Play Hard",1,4.04,0.96,38,0,0,0,5,8,7,6,3,0,0,0,0,0,80.96,0
Not being boastful but OML I bet any bitch you fckin with ain like me period .. you down bad I promise them hoes go bend and fold on you,0,3.566666666666667,0.9,6,0,0,0,2,16,5,2,0,0,0,1,2,0,90.6,0
Lol they always say a little trim but when you look in the mirror you're a whole new Bitch,0,3.789473684210526,0.9473684210526315,2,0,0,0,1,9,4,1,0,0,0,0,1,0,86.03,0
Every one of these takes 7 minutes off your shitty relationship,0,4.818181818181818,1.0,1,0,0,0,0,4,2,1,0,0,0,0,0,0,68.77,0
"Are you really pulling a #NotAllMen here? The movement targets the systemic issue of patriarchy, not ind",0,5.176470588235294,1.0,5,1,0,0,3,7,6,1,1,0,0,0,1,0,62.85,0
"#OccupyICEPHL was delighted to learn that Charlie Kirk, the anti-immigrant, anti-Muslim, conspiracy theory-touting, founder &amp; executive director of the white nationalist-allied Turning Point USA (TPUSA) didn't have a very good morning either. #NationalistsNotWelcome",0,7.212121212121212,0.9696969696969697,23,2,0,0,16,10,11,2,2,0,0,0,1,0,-4.33,0
"because they had a cross on !! The lovely NHS cannot get 100 Indian Doctors over from India because of Immigration rules ,good do we want to hire from a land of Rapists and ignorant beliefs sadly we cannot get enough training places here, why dont we use nurse Practitioners#",1,4.52,0.84,10,0,0,0,5,20,13,6,0,0,0,0,2,0,63.53,0
your home boy your block that you're from boo boo lil hoes you went to school with boo boo bby mama & your new bitch boo boo,0,3.6296296296296298,0.7407407407407407,0,0,0,0,2,9,14,2,0,0,0,0,0,0,95.85,0
Shes a whore and her moms a drug addict. Dont fall for these hoes,1,3.7142857142857144,0.9285714285714286,2,0,0,0,1,6,6,2,0,0,0,0,0,0,106.67,0
"You're a liar let the vibe catch anyone of you and you're bussin a skank, you lot",1,3.823529411764706,0.8823529411764706,1,0,0,0,3,9,5,2,0,0,0,0,0,0,96.52,0
Westminster terror attack suspect named as 'Sudanese Rapefugee who drove around London looking for targets' before driving car into cyclists,0,6.05,1.0,4,0,0,0,2,5,9,3,3,0,0,1,0,0,42.72,0
"ILLEGAL Immigrant Shoots Gun, Claims Hes Protected By The SecondAmendment",0,6.4,1.0,17,0,0,0,1,2,4,2,1,0,0,0,0,0,35.95,0
Dhimmi France Outlaws Catcalling After Paris Woman Attacked By Street Rapefugee,1,6.2727272727272725,1.0,11,0,0,0,0,2,5,2,2,0,0,1,0,0,60.31,0
a bitch in which I find attractive can take her sock off and my dick will suddenly become hard as shit ..,1,3.8181818181818183,1.0,1,0,0,0,2,11,5,2,0,0,0,0,1,0,84.0,0
"""Islamic migrant urges Germans, Austrians to give rapefugees """"Their Homes and Money""""""",1,6.333333333333333,1.0,6,0,0,0,7,2,7,1,0,0,0,0,0,0,59.3,0
same AF,0,3.0,1.0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,120.21,0
Bitch I almost dove to Hollywood tonight and slashed your muthafuxking tires ! We besties for life HOE,0,4.722222222222222,1.0,7,0,0,0,1,6,7,3,2,0,0,0,1,0,88.23,0
Illegal Aliens Killed Two Search And Rescue Dogs In Texas wicked infernal barbarians have no place in society!#BuildTheWallNow #DeportThemAll #NoAmnesty#NoDACA#NoMs,1,7.25,1.0,26,5,0,0,6,5,9,4,1,0,0,0,0,0,35.95,0
#BuildThatWall Its an Invasion America,1,6.8,1.0,6,1,0,0,1,2,2,0,0,0,0,0,0,0,32.56,0
""" """"your mom has hair on her pussy so you need to stfu"""" LMFAO""",1,3.5714285714285716,1.0,5,0,0,0,6,6,4,1,0,0,0,0,0,0,100.58,0
Ask any liberal how many illegal aliens they've let stay in their house. The answer probably won't surprise you. #SendThemBack #BuildTheWall,1,5.714285714285714,1.0,8,2,0,0,6,6,5,3,0,0,0,0,2,0,69.28,0
Alr bro #AllLivesMatter #Maga #BuildThatWall,1,8.0,1.0,8,3,0,0,3,0,5,0,0,0,0,0,0,0,15.64,0
When you're on a first date and they start talkin about their ex,0,4.0,1.0,1,0,0,0,1,8,4,0,0,0,0,0,1,0,109.04,0
Check this out and Retweet if you Agree ! #draintheswamp #buildthatwall #kag #politics #government #gop #Trumplicans #PresidentTrump #MAGA #TrumpTrain #AmericaFirst #donaldtrump #sorrynotsorry #politicalmemes #madmax #trumplicans #whitehouse #patriot,1,8.296296296296296,1.0,14,18,0,0,19,5,15,3,0,0,0,0,0,0,24.44,0
List fails without '50 Things To Think About To Stop You Doing Your Beans' by Kunt and the Gang,0,4.052631578947368,0.9473684210526315,13,0,0,0,2,9,4,3,0,0,0,1,0,0,94.49,0
"Hartley - Brewer, Vine, Oakeshott, Moir, women of the right who seem to think #TorySleaze36 is an hysterical witch hunt, say it to victims.",0,4.833333333333333,0.9583333333333334,7,1,0,0,8,8,8,3,0,0,0,0,1,0,73.51,0
CANADA SHOULD SEND ALL THE FXIN WELFARE BREEDING REFUGEES BACK TO WHERE THE FX THEY CAME FROM. ENOUGH IS ENOUGH. I AM TIRED OF MY TAX DOLLARS PAYING FOR THESE FXIN WELFARE BREEDERS/ SEND THE ILLEGALS BACK. ILLEGALS ARE NOT WELCOME.,1,4.658536585365853,0.8536585365853658,186,0,0,0,5,17,11,6,2,0,0,0,3,0,86.4,0
"How old is Asshole Eggsalad, like 20? 7 months, bitch #BabyDriver",0,5.0,1.0,5,1,0,0,4,2,4,0,0,0,0,1,0,0,82.81,0
#IllegalAliens : a foreigner who is living without authorization in a country of which they are not a citizen.,0,4.842105263157895,0.8947368421052632,2,1,0,0,3,11,3,2,1,0,0,1,0,0,44.75,0
"Why? Don't they have better things to do, like stop the influx of refugees!! (LOL)",1,4.533333333333333,1.0,5,0,0,0,7,6,4,1,0,0,0,1,0,0,98.55,0
Colorado: Iraqi immigrant who shot cop in the head evaded deportation despite a string of crimes via,0,4.9411764705882355,1.0,2,0,0,0,1,5,8,2,2,0,0,2,0,0,62.68,0
"we have to get the folks to sign the petition.they want the wall,but only 1 sig so far.thought this would be overwhelmed by now! #BuildThatWall #MAGA2018 #KAG2020",1,5.037037037037037,0.8888888888888888,10,3,0,0,7,12,6,3,1,0,0,0,0,0,81.49,0
"Was a legal Resident until she was Convicted of Shoplifting Deported then Came Back Illegally Now She wants U,S Taxpayers to pay her Medical Bills #SendHerBack let her family go with her ! #Immigration",1,4.9411764705882355,0.9411764705882353,19,2,0,0,4,14,6,8,2,0,0,0,2,0,29.52,0
That Old bitch and young bitch look like dudes! Yall Some tranny lookin ass hoes,1,4.4,0.9333333333333333,4,0,0,0,1,3,6,1,0,0,0,1,0,0,106.16,0
EU leaders gathered for an emergency summit on migration but this was really an attempt to show support for Angela Merkels government.,0,5.136363636363637,0.9090909090909091,4,0,0,0,1,9,10,2,1,0,0,0,1,0,49.15,0
Say yes to too many dates and you're a whore that dates too much. Say no to dates and you're a bitch that doesn't w,0,3.64,0.64,2,0,0,0,4,14,4,4,0,1,0,0,1,0,109.55,0
War torn? Most so called refugees come from safe countries! Moron!#fuckEU #leaveEU #sendthemback it's the only option to save Europe,1,5.65,1.0,8,3,0,0,7,7,8,4,1,0,0,0,0,0,78.25,0
"So that they can hide their lies from the public who has the right to know the truth of what they have done, all belong in prison for life, they know it and public will know as well very soon #BuildTheWall #LockThemUp #EndDACA #BoycottNFL #BoycottNike",1,4.6,0.8444444444444444,18,5,0,0,7,25,9,5,0,0,0,0,4,0,59.64,0
"Barcelona recently made the very public decision to embrace migrants and let the tourist trade slide because tourists ""wrecked neighbourhoods"" whilst migrants ""enriched culture"". NOT A JOKE.",0,6.074074074074074,0.9259259259259259,9,0,0,0,6,8,11,3,1,0,0,0,1,0,66.23,0
.I wonder if Merkel is listening?Probably NOT. Time for the Germans to take back there country! #Germany #IllegalImmigration #IllegalImmigrants #Duetchland,1,6.8,1.0,14,4,0,0,8,6,8,3,1,0,0,0,1,0,22.37,0
FUCK YOU STUPID BITCH,1,4.5,1.0,18,0,0,0,0,1,1,0,0,0,0,0,0,0,118.18,0
"How dare you!! How about giving our own women the choice to be able to walk on OUR streets safe in the knowledge they won't be raped and murdered courtesy of YOUR out of control immigration. You've created a monster, you are a monster #MayMustGo",1,4.466666666666667,0.8666666666666667,13,1,0,0,7,26,12,3,3,0,0,0,0,0,73.17,0
Steven Spielberg Is A Stupid Bitch #richardspenceruf #usnavy #timemagazine #feminismiscancer #socialism #bieber #cpc,0,8.0,1.0,6,7,0,0,7,2,7,0,0,0,0,0,1,0,49.82,0
You dirty bitch,1,4.333333333333333,1.0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,119.19,0
Immigrant Defense Project #HereToStay,0,8.5,1.0,6,1,0,0,1,0,3,0,0,0,0,0,0,0,33.58,0
Yo whoever took my shoes last night is a broke back bitch lmao,0,3.8461538461538463,1.0,1,0,0,0,0,3,5,2,0,0,0,0,1,0,92.12,0
Do what?,0,3.5,1.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,120.21,0
I'll never call a bitch my bestfriend you hoes switch up to much .,0,3.7857142857142856,1.0,1,0,0,0,2,5,2,3,0,0,0,0,1,0,92.12,0
Pay to play is still in the (D)socialist 3rd world dumbsh*t partys dna. Somebody in the senate and congress are working it. Keep your eyes peeled! Promises IF they become majority. $ just waiting to pour into the newest foundation! #MAGA #NoDACA #howdoyoulikeusnow,1,5.162790697674419,0.9069767441860465,16,3,0,0,12,15,14,5,2,0,0,0,1,0,72.83,0
"people stay talking about ""I don't have her number no more"" BITCH THE WAY YOU STALK ME HOE YOU KNOW HOW TO GET AT ME BE FR",0,3.5555555555555554,0.9259259259259259,48,0,0,0,3,14,5,5,1,0,0,0,0,0,86.37,0
Hats off and thank you to #GranniesRespond .Their caravan made it to McAllen Texas this weekend to protest the treatment of migrant and immigrant families by #NotMyPresident. Now we need them to show up in November and #VoteThemOut .,0,5.0,0.8717948717948718,15,3,0,0,6,19,10,5,0,0,0,0,0,0,67.04,0
"Folks, this is how we perceive your work.#refugeesnotwelcome #trojanhorse",1,7.222222222222222,1.0,1,2,0,0,4,5,2,1,0,0,0,0,0,0,79.26,0
here's my point you dog of assad son of whore father of slut,0,3.6923076923076925,0.8461538461538461,0,0,0,0,1,5,5,0,0,0,0,2,0,0,92.12,0
"#BurundiWith militiamen still roaming in the countryside, 400.000 refugees, 10.000 political prisoners, 2000 dead whose families are crying for justice.... Anyone who ignores those issues and just talks about 2020 elections is disingenuous",0,6.2727272727272725,1.0,3,1,0,0,10,10,10,3,2,0,0,0,1,0,54.59,0
When the invaders protest new invaders #stoptheinvasion,0,7.0,0.8571428571428571,1,1,0,0,1,2,3,1,0,0,0,0,0,0,64.37,0
Youve got this. Thank you for your service and commitment to keeping America safe and prosperous. #BuildThatWall,1,5.647058823529412,0.9411764705882353,6,1,0,0,3,6,4,2,1,0,0,0,0,0,62.85,0
A Lot Of People Are Having To Be Told Why Women Don't Speak Up About Rape Culture via,0,3.7777777777777777,1.0,17,0,0,0,1,10,4,1,0,0,0,1,0,0,87.05,0
Why does this stupid Herrera guy pass the ball without taking a touch then when he loses it presses like a cunt?,0,4.136363636363637,0.9545454545454546,2,0,0,0,1,10,7,1,1,0,0,2,0,0,82.99,0
Another Woman Has Come Forward With A Very Detailed Rape Allegation Against,0,5.333333333333333,1.0,12,0,0,0,0,5,3,1,0,0,0,0,1,0,50.84,0
Jet-setting monk accused of rape now in big trouble for fraud via Kara's a bitch as he just found out,0,4.1,1.0,2,0,0,0,2,9,6,2,1,0,0,1,0,0,85.02,0
you stupid fucking whore mom,1,4.8,1.0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,100.24,0
Angela Merkel precarious as Germany's refugee row intensifies,0,6.75,1.0,3,0,0,0,1,1,6,0,0,0,0,0,0,0,29.52,0
"Tuesday and Wednesday, Thursday and Friday.....I can beat your ass bitch every weekend.",1,5.769230769230769,0.9230769230769231,5,0,0,0,7,4,5,0,0,0,0,0,0,0,73.34,0
"1) fuck you 2) i gotchu fam, lemme get my pimp hand ready",0,3.4615384615384617,1.0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,109.04,0
I'll show you mine if you show me yours,0,3.4444444444444446,0.7777777777777778,1,0,0,0,1,5,3,0,0,0,0,0,0,0,113.1,0
"o right settle down 75 m turks could invade Europe no more kebabs ,Cameron ur immigration policy as a nappy for constipated people",1,4.695652173913044,1.0,2,0,0,0,1,8,7,3,1,0,0,0,1,0,48.13,0
The one where I was the only woman on a thread where men were mansplaining Jackie Foxs rape to me. (The women post,0,4.0,0.9565217391304348,5,0,0,0,2,11,7,2,1,0,0,0,0,0,93.64,0
"Donald Trump HAS brought the jobs back, and now little 'orator' Obama wants to take credit. Pathetic.#BuyFromInAndOut #InternetBillOfRights #DarkLeft #WalkAway #ReinstateRobynGritz #JimJordan4Speaker #2A #DefundPP #ChainDeportation #BuildThatWall #FreeJulian #BoycottNFL",1,8.678571428571429,1.0,41,12,0,0,17,5,11,4,0,0,0,1,1,0,6.5,0
im that bitch who goes thru the whole comment section to like all the comments talking abot jm it be like this,0,4.045454545454546,0.9090909090909091,0,0,0,0,0,9,5,2,1,0,0,2,0,0,82.99,0
When she's rockin roast beef so you decide to play with it,0,3.9166666666666665,1.0,1,0,0,0,1,7,3,1,0,0,0,0,0,0,101.6,0
"Canada using DNA testing, ancestry websites to investigate migrants far as Im concerned, those that entered undocumented / illegally gave up any right to privacy.",0,5.52,0.96,5,0,0,0,4,7,5,6,3,0,0,0,2,0,21.74,0
Just consider the source. This cockroach is a serial failure. The only reason he gets any notoriety is because there are radical media outlets that support far-left zealots. Joe needs help tying his shoelaces; thus Mika.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #NRA,1,5.348837209302325,0.9767441860465116,32,8,0,0,14,15,15,6,2,0,0,0,2,0,62.75,0
"Even CNN says Trudeau is in trouble over illegal immigration. It says his focus should be on what he can control, starting with curbing the flow of migrants crossing into Canada. He is under growing pressure from provincial premiers and big city mayors",0,4.883720930232558,0.9534883720930233,8,0,0,0,3,20,11,7,4,0,0,0,1,0,65.42,0
Young Woman Gets Loud While She Stuffs Her Cunt,0,4.333333333333333,1.0,9,0,0,0,0,3,3,1,0,0,0,0,0,0,104.64,0
"If the issue is military rape, it's, 'What do you expect if men and women are sleeping in the same tents?' Then it's back to #NotAllMen. 3/8",0,4.222222222222222,0.9629629629629629,6,1,0,0,10,14,6,2,1,0,0,0,1,0,83.15,0
This dude is a whole bitch,0,3.5,1.0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,116.15,0
Immigrant Farmers Help Grow Organic Ag in Wisconsin and Beyond,0,5.3,1.0,8,0,0,0,0,2,4,2,0,0,0,1,0,0,44.41,0
"Since the Supreme Court has not explicitly addressed the issue of gun rights for noncitizens, this case is being allowed to move forward in court. Pratheepan Gulasekaram, a Santa Clara University law professor, said Perez may have a chance.",0,5.17948717948718,0.9487179487179487,9,0,0,0,5,14,16,4,2,0,0,1,2,0,60.14,0
Bitch I need these shoes,0,4.0,1.0,2,0,0,0,0,2,3,0,0,0,0,0,0,0,117.16,0
I'm actually really happy your ass got pregnant and that you're having a shotgun wedding. Karma is a bitch you cheating skank,1,4.7272727272727275,0.9545454545454546,2,0,0,0,3,9,5,2,1,0,0,0,2,0,68.77,0
"Ooh this is getting into Shakespearean levels of manipulation. And of course he goes for the hysterical woman angle, with a side order of using Hanssens feelings for Roxanna against her. #HolbyCity",0,5.1875,0.90625,7,1,0,0,4,14,9,4,2,0,0,1,0,0,46.78,0
you forgot Ram mandir,0,4.5,1.0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,92.8,0
Anyone in Michigan able to drive an immigrant family from Detroit to Chicago on Wednesday? This group has driven moms across the country to be reunited w/ their kids. Now they have a family who needs help picking up documents in Chicago. DM me for details.,0,4.586956521739131,0.9130434782608695,10,0,0,0,5,21,13,5,2,0,0,1,2,0,76.72,0
not jacking off to hentai mind you my cock been dead for days but busy reading!,0,4.0,1.0,0,0,0,0,1,8,4,2,2,0,0,0,0,0,89.08,0
And if you think some whore blowing a guy to get a part in a movie is rape?,1,3.2222222222222223,0.8888888888888888,1,0,0,0,1,10,4,3,1,0,0,1,0,0,95.51,0
"He is the new enemy (H.Kickl, minister of interior) of the left comunistic-socialist-green groups which make business with refugees. He will do everything to bring refugees out of Austria, this disturb the business.",1,5.545454545454546,0.8484848484848485,5,0,0,0,9,16,11,3,0,0,0,0,0,0,60.31,0
Spanish Airfarce = Rapefugee Invader's Air Force.,1,6.142857142857143,1.0,6,0,0,0,3,0,4,1,0,0,0,0,0,0,73.85,0
As long as it takes to #BuildThatWall,1,4.428571428571429,1.0,4,1,0,0,1,4,1,1,0,0,0,0,1,0,106.67,0
ANYONE WHOEVER DOUBTED LOUIS & SAID HE COULDNT SING GO LISTEN TO #BackToYou & IF U DONT CHANGE UR MIND UR JUST A BITTER BITCH,0,4.04,0.92,92,1,0,0,3,5,9,3,1,0,0,0,0,0,65.05,0
"And how many #AmericanKids have yet to be reunited with their parents because their parents commit a CRIME?Oh, that's right, #KamalaHarris doesn't care about #American kids, just #Illegals.#IllegalAliens #FamilySeparation #IllegalImmigrants",1,7.033333333333333,0.9333333333333333,19,7,0,0,14,13,10,3,1,0,0,0,2,0,27.49,0
Bitch you better bite that tongue before I rip it off hoe,1,3.8333333333333335,1.0,2,0,0,0,0,6,5,0,0,0,0,0,1,0,93.14,0
#FamiliesBelongTogether Send the kids back to their deported Parents in their Country! They Should exit together,1,6.0625,0.9375,8,1,0,0,2,7,5,1,1,0,0,0,3,0,37.98,0
The audacity and impudence of this #TrumpCrimeFamily leaves one absolutely astonished What about all the families that u have broken up & destroyed ?#sendthemback,0,5.791666666666667,1.0,5,2,0,0,4,11,4,2,0,0,0,0,2,0,31.21,0
"What is actually happening is very different. According to the U.N.H.C.R the breakdown of refugees are 13% women, 12% children, 75% men aged between 19 to 45. These are not the demographics of people fleeing a war.",0,4.8108108108108105,0.8378378378378378,8,0,0,0,12,17,8,4,4,0,0,0,1,0,70.5,0
Domestic abuse is never okay.... Unless your wife is a bitch #WomenSuck,1,5.0,0.9166666666666666,4,1,0,0,5,4,4,1,0,0,0,1,1,0,65.39,0
Sure it's not the rapes and murders committed by your new migrants? One would think your new cultural enrichment that came in the form of one of your women being chopped up,1,4.40625,0.84375,2,0,0,0,2,15,4,5,2,0,0,0,1,0,80.62,0
"It may well be 'not all men' but it's effected every woman and girl in some way, shape or form. And it IS the responsibility of ALL men...",0,3.9642857142857144,1.0,7,0,0,0,8,15,7,2,1,0,0,0,1,0,82.65,0
Sturgeon wants to give refugees the right to vote. Talk about changing demographics to get you elected.,0,5.117647058823529,0.8823529411764706,2,0,0,0,2,6,3,6,2,0,0,0,1,0,79.77,0
Whoever cut down the rope swing is a bitch,0,3.7777777777777777,1.0,1,0,0,0,0,4,2,2,1,0,0,0,0,0,96.18,0
"It is pretty simple equation. Once fake SSN is obtained, nothing stops illegals from voting ( or applying for welfare). Country-wide fraud. So sick of millions of criminals taking advantage of Americans in each and every way. #SendThemBack",1,5.315789473684211,0.9210526315789473,11,1,0,0,9,14,12,5,4,0,0,0,1,0,58.99,0
"This will be great. Hope puts someone in charge who makes sure All $$$ goes toward construction costs. And he/she better get it going after day, Every million donated. #BuildThatWall",1,5.1,1.0,8,1,0,0,9,9,7,6,2,0,0,1,1,0,78.55,0
"Illegal Alien Awaiting Deportation For Child Rape, Now Caught Producing Child Porn",1,5.916666666666667,0.9166666666666666,12,0,0,0,1,2,6,3,2,0,0,0,0,0,50.84,0
Police nab illegal immigrant 'family' after man found to have raped girl via washtimes #women #college #Democrats,0,5.705882352941177,1.0,2,3,0,0,5,3,6,2,1,0,0,1,1,0,54.22,0
Everyone hates chelsea - whore skank,1,5.166666666666667,1.0,1,0,0,0,1,0,4,1,0,0,0,0,0,0,83.32,0
"Read RCUSA's Report Card for the month of June. We're 20,000 refugees behind schedule and only 3 months remain in the Fiscal Year 2018",0,4.625,0.9583333333333334,12,0,0,0,4,7,8,1,0,0,0,1,0,0,84.68,0
Other people: gosh darn it Me: god damn tittie fucking cunt ass bitch mother fucker,0,4.6,1.0,2,0,0,0,2,2,8,2,1,0,0,1,0,0,73.17,0
Just a whiney cunt bitch of a wife,1,3.375,0.875,1,0,0,0,0,4,4,0,0,0,0,0,0,0,114.12,0
